key	value	date
Slang Terms	37	06/13/16
Slang Terms	17	06/14/16
Slang Terms	17	06/15/16
Slang Terms	16	06/16/16
Slang Terms	20	06/17/16
Slang Terms	12	06/18/16
Slang Terms	6	06/19/16
Slang Terms	12	06/20/16
Slang Terms	9	06/21/16
Slang Terms	3	06/22/16
Slang Terms	6	06/23/16
Slang Terms	0	06/24/16
Slang Terms	0	06/25/16
Slang Terms	0	06/26/16
Slang Terms	2	06/27/16
Slang Terms	0	06/28/16
Slang Terms	0	06/29/16
Buying	85	06/12/16
Buying	40	06/13/16
Buying	27	06/14/16
Buying	33	06/15/16
Buying	60	06/16/16
Buying	15	06/17/16
Buying	6	06/18/16
Buying	6	06/19/16
Buying	2	06/20/16
Buying	16	06/21/16
Buying	4	06/22/16
Buying	3	06/23/16
Buying	1	06/24/16
Buying	0	06/25/16
Buying	0	06/26/16
Buying	1	06/27/16
Buying	1	06/28/16
Buying	0	06/29/16
Civil Rights	2	06/12/16
Civil Rights	0	06/13/16
Civil Rights	1	06/14/16
Civil Rights	1	06/15/16
Civil Rights	2	06/16/16
Civil Rights	0	06/17/16
Civil Rights	0	06/18/16
Civil Rights	1	06/19/16
Civil Rights	1	06/20/16
Civil Rights	28	06/21/16
Civil Rights	29	06/22/16
Civil Rights	21	06/23/16
Civil Rights	3	06/24/16
Civil Rights	2	06/25/16
Civil Rights	2	06/26/16
Civil Rights	3	06/27/16
Civil Rights	1	06/28/16
Civil Rights	2	06/29/16
Institutions	170	06/12/16
Institutions	73	06/13/16
Institutions	50	06/14/16
Institutions	88	06/15/16
Institutions	91	06/16/16
Institutions	39	06/17/16
Institutions	18	06/18/16
Institutions	311	06/19/16
Institutions	78	06/20/16
Institutions	63	06/21/16
Institutions	22	06/22/16
Institutions	33	06/23/16
Institutions	16	06/24/16
Institutions	10	06/25/16
Institutions	20	06/26/16
Institutions	43	06/27/16
Institutions	11	06/28/16
Institutions	20	06/29/16
Homo/transphobia	81	06/12/16
Homo/transphobia	38	06/13/16
Homo/transphobia	34	06/14/16
Homo/transphobia	30	06/15/16
Homo/transphobia	16	06/16/16
Homo/transphobia	7	06/17/16
Homo/transphobia	14	06/18/16
Homo/transphobia	17	06/19/16
Homo/transphobia	5	06/20/16
Homo/transphobia	7	06/21/16
Homo/transphobia	4	06/22/16
Homo/transphobia	3	06/23/16
Homo/transphobia	1	06/24/16
Homo/transphobia	2	06/25/16
Homo/transphobia	3	06/26/16
Homo/transphobia	0	06/27/16
Homo/transphobia	19	06/28/16
Homo/transphobia	4	06/29/16
Hate Crime	50	06/12/16
Hate Crime	32	06/13/16
Hate Crime	16	06/14/16
Hate Crime	16	06/15/16
Hate Crime	10	06/16/16
